Fiber_name,PC2_greater,psig
f1885,0.0595543762460937,1
f1890,0.113265745258387,1
f1899,0.09300706546417199,1
f1900,0.0876733468423667,1
f1905,0.142970272330983,1
f1922,0.124209696107917,1
f1972,0.108622411693005,1
f2001,0.112707198749931,1
f2043,0.15332311066089402,1
f2045,0.135266077927686,1
f2048,0.10730121882978098,1
f2067,0.151605399659043,1
f2076,0.157795152867421,1
f2086,0.16448251473530198,1
f2099,0.0759441187861863,1
f2145,0.080978926867093,1
f2160,0.0938212652718221,1
f2161,0.105749806384279,1
f2162,0.138293211595979,1
f2163,0.10568022186040898,1
f2175,0.12062392064311302,1
f2178,0.10648184769948801,1
f2180,0.10711188628769301,1
f2203,0.11726435892338799,1
f2238,0.0813962155554925,1
f2244,0.12953454297379802,1
f2248,0.151329374265433,1
f2261,0.191468995205721,1
f2263,0.139661153033173,1
f2352,0.0922228440087737,1
f2353,0.119656086620415,1
f2359,0.0953053909274335,1
f2361,0.0978316030876498,1
f2373,0.10315342792065199,1
f2379,0.09501241421852302,1
f2381,0.0657424728591139,1
f2390,0.0992303223581357,1
f2392,0.12072278574349302,1
f2398,0.0928803704984374,1
f2401,0.0995859050074898,1
f2414,0.16461905412159697,1
f2427,0.175777973092133,1
f2428,0.10453106066603599,1
f2441,0.10511074765584599,1
f2443,0.11929256791798899,1
f2445,0.238590198479762,1
f2447,0.11106395474680199,1
f2448,0.0856394962047671,1
f2449,0.10765026766521199,1
f2450,0.107279953246663,1
f2451,0.161446560667565,1
f2456,0.0993988692069756,1
f2465,0.0925736108776571,1
f2466,0.11618518873993701,1
f2467,0.171944286568975,1
f2487,0.0802118026022735,1
f2491,0.12800581271047098,1
f2492,0.144107944966692,1
f2495,0.0907512542864674,1
f2513,0.11497680866210401,1
f2533,0.124902144162979,1
f2536,0.269449911609782,1
f2551,0.129718564615583,1
f2556,0.13729034106851198,1
f2557,0.236652427650826,1
f2565,0.220680661638637,1
f2611,0.0972020886061792,1
f2621,0.0831490903318248,1
f2673,0.108715937813318,1
f2674,0.11949140022288199,1
f2678,0.0930379949039049,1
f2681,0.17499709160079002,1
f2682,0.13241354514894998,1
f2688,0.10199217282225,1
f2690,0.21638439039837398,1
