Fiber_name,PC2_lesser,psig
f1295,-0.0538711481060196,1
f1304,-0.0807022309799258,1
f1305,-0.120355975244205,1
f1311,-0.0734963372698358,1
f1312,-0.0663358712039818,1
f1319,-0.0676186244555022,1
f1320,-0.0854611554826481,1
f1321,-0.0883492651614709,1
f1323,-0.0805724830412732,1
f1349,-0.0552312996255619,1
f1367,-0.0587813476246248,1
f1380,-0.0670761879910742,1
f1421,-0.0598125027936801,1
f1423,-0.0755158170452819,1
f1424,-0.0843535438006689,1
f1425,-0.0915859039037505,1
f1428,-0.0632399595901628,1
f1429,-0.0938756163669235,1
f1430,-0.10170153260976501,1
f1433,-0.0582780953309191,1
f1435,-0.0913924333384979,1
f1436,-0.0889902974444434,1
f1439,-0.0878561880235586,1
f1441,-0.0870938689767823,1
f1442,-0.0622644860024997,1
f1445,-0.0752898568694893,1
f1446,-0.0647422511272196,1
f1447,-0.0656514044925349,1
f1450,-0.0427680619895446,1
f1455,-0.0452022786104483,1
f1459,-0.0560269660066148,1
f1460,-0.0692317204239675,1
f1462,-0.0483392526345411,1
f1464,-0.0500041058146465,1
f1466,-0.0673931970008058,1
f1467,-0.0550200086896614,1
f1479,-0.0598306326078768,1
f1480,-0.0834157092209595,1
f1496,-0.0519941360787184,1
f1497,-0.0618573426716241,1
f1498,-0.0800760182846165,1
f1505,-0.0383321594514317,1
f1517,-0.0692569572208953,1
f1518,-0.0760759375558333,1
f1528,-0.0546617827586939,1
f1529,-0.0540739612668941,1
f1536,-0.0788214429799748,1
f1539,-0.0841746253931105,1
f1540,-0.101525403437356,1
f1549,-0.0634857695333211,1
f1550,-0.0559931750112024,1
f1553,-0.0957269308428733,1
f1555,-0.0758007032259254,1
f1560,-0.0741586516953462,1
f1574,-0.116904329450155,1
f1598,-0.0959960465636038,1
f1618,-0.0692175360483667,1
f1656,-0.0513206041928836,1
f1665,-0.0728967671168696,1
f1666,-0.0774939997885366,1
f1672,-0.0856526934671635,1
f1678,-0.0911033719173013,1
f1686,-0.0667937028033693,1
f1705,-0.0481218598758609,1
f1708,-0.066533816568781,1
f1725,-0.0669368718973669,1
f1728,-0.0385723785106929,1
f1742,-0.0563671266368639,1
f1743,-0.0800321342017541,1
f1771,-0.0558126469808761,1
f1778,-0.0804880397343436,1
f1798,-0.0628485615140249,1
f1820,-0.0874864825922648,1
f1821,-0.11792264855681,1
f1845,-0.105959308585179,1
f1846,-0.0950473531963042,1
f1922,-0.0571344815046127,1
f1925,-0.0631486565533187,1
f1926,-0.0719506495910362,1
f1932,-0.0613659558895305,1
f1956,-0.0613065531547567,1
f1961,-0.0425372762376732,1
f1980,-0.0656554221934823,1
f1981,-0.0638880749361999,1
f1991,-0.0455492466252168,1
f2002,-0.0634994523155452,1
f2003,-0.0932471082512025,1
f2008,-0.0502794206274255,1
f2022,-0.0746571851061388,1
f2034,-0.0441299995164409,1
f2038,-0.0486089094558973,1
f2039,-0.0661583139704658,1
f2044,-0.0725586265144197,1
f2049,-0.101282158891174,1
f2050,-0.0917834506115201,1
f2062,-0.0617972610329243,1
f2064,-0.110515700802834,1
f2068,-0.0538908332828205,1
f2070,-0.0978929237793617,1
f2089,-0.0835471968447778,1
f2115,-0.087331587074052,1
f2169,-0.0699116121944406,1
f2191,-0.0522444379216053,1
f2207,-0.0463170904331897,1
f2242,-0.0475654529926315,1
f2269,-0.0866988688143945,1
f2286,-0.07060587114152,1
f2298,-0.0414588764699175,1
f2322,-0.0846213894584869,1
f2323,-0.0753401313748829,1
f2329,-0.0739408440797325,1
f2347,-0.0481180911809691,1
f2394,-0.0467421421312127,1
f2425,-0.0680734190350823,1
f2426,-0.0717714878979782,1
f2427,-0.0789355633040088,1
f2441,-0.103417152396036,1
f2475,-0.0452848491245463,1
f2508,-0.0546731575882036,1
f2517,-0.060766504622072,1
f2521,-0.0540348939241325,1
f2530,-0.0492709667084088,1
f2552,-0.0596545756037984,1
f2589,-0.077832153240948,1
f2611,-0.0556603604417893,1
f2651,-0.0481757704030035,1
f2762,-0.0574750216905302,1
f2767,-0.0686487514192214,1
f2771,-0.0917836968803491,1
f2783,-0.0752404669537134,1
f2794,-0.0772528068014126,1
f2800,-0.0534786587621331,1
